Name,Assign,Attachments,Due,Label,Status
Stunden Insgesamt (noch nicht bezahlt): 95 Stunden / 1140 Euro,,,,,Fertig
2 App-Bilder für DreamStudios App Website,,,,Dream Studios App,Fertig
Bild / Animation für Neospace Website,,,,Neospace,Fertig
3 Wallpapers einzelnd (Für Steam) und direkt mit dem UI für das Tablatt,,,,Neospace,Fertig
Endcutscene (Raumschiff austauschen + Sounddesign),,,,Neospace,Fertig
Hauptmenü Start Animation,,,,Neospace,Fertig
Item Icons (Tablett) 4 Stück,,,,Neospace,Fertig
Stromkasten Modell,,,,Neospace,Fertig
100€,,,,,Bezahlt
Stunden zusammen Zählung,,,,,Stunden Rechnungen
UI Elements (Hauptmenü),,,,Neospace,Fertig
Dream Studios App Trailer,,,,Dream Studios App,Aufgaben
Neospace Trailer,,,,Neospace,Aufgaben
Bilder für App-Store,,,,Dream Studios App,Fertig
Leveldesign Neospace (Hub),,,,Neospace,Aufgaben
window.png in main menu glow oben fixen,,,,Neospace,Fertig
Steam Bilder,,,,Neospace,Aufgaben
Kickstarter Bilder,,,,Neospace,Aufgaben