Name,Priority,Status,Type
Create a span for each parts of one paragraph,Low,Not started,Style
Remember Current Page on Reload,Low,Not started,Optimization
PDF Download-Funktion with pictures if SVG does not work,Low,Not started,"Feature, Optimization"
Multipage Design,High,Done,
Textfield Design,Low,Not started,Style
At Question “Anzahl der geplanten Ladepunkte”: ≤ Number of a previous question,Low,Not started,Feature
Recommendation: Tables,Medium,Not started,Feature
Font preloading,Medium,Not started,Optimization
Save Scripts and Fonts on the Server,Medium,Not started,Optimization
Logo as SVG,Medium,Not started,"Feature, Optimization"
Weiter Button deactivated before pressing Enter fix,Medium,Done,
Graphic at the end of recommendations,Medium,Not started,
Keep Font after PDF Export,Low,Not started,Style
Required Questions,High,Done,
Create Recommendation Structure,High,Done,
Recommendation: Criterias,High,Done,
Put Question Data into Database,High,Done,
Question Amount Above 9,High,Done,
Complex Conditions for Questions,High,Done,
Recommendation: Checkboxes,High,Done,"Feature, Style"
Block True in Combination,High,Done,Bug
Some empty lines at the bottom of the site,High,Done,Optimization
Recommendation: Calculations,High,Done,"Essential, Feature"
Implement Recommendation Structure,High,Done,Essential
Put Recommendation Data into Database,High,Done,"Database, Essential"
"Reset Values of Page, when condition is not met",High,Done,"Bug, Essential"